red_fighter_name,blue_fighter_name,winner,winner_encoded
Kelvin Gastelum,Daniel Rodriguez,Red,1
Shara Magomedov,Antonio Trocoli,Red,1
Johnny Walker,Volkan Oezdemir,Blue,0
Nasrat Haqparast,Jared Gordon,Red,1
Muhammad Naimov,Felipe Lima,Blue,0
Rinat Fakhretdinov,Nicolas Dalby,Red,1
Kyung Ho Kang,Muin Gafurov,Blue,0
Magomed Gadzhiyasulov,Brendson Ribeiro,Red,1
Xiao Long,ChangHo Lee,Blue,0
Alex Perez,Tatsuro Taira,Blue,0
Douglas Silva de Andrade,Miles Johns,Blue,0
Timmy Cuamba,Lucas Almeida,Blue,0
Brady Hiestand,Garrett Armfield,Red,1
Asu Almabayev,Jose Johnson,Red,1
Josh Quinlan,Adam Fugitt,Blue,0
Jimmy Flick,Nate Maness,Blue,0
Carli Judice,Gabriella Fernandes,Blue,0
Jeka Saragih,Westin Wilson,Blue,0
Melquizael Costa,Shayilan Nuerdanbieke,Red,1
Josefine Knutsson,Julia Polastri,Red,1
Jared Cannonier,Nassourdine Imavov,Blue,0
Dominick Reyes,Dustin Jacoby,Red,1
Raul Rosas Jr.,Ricky Turcios,Red,1
Brunno Ferreira,Dustin Stoltzfus,Red,1
Julian Marquez,Zachary Reese,Blue,0
Miguel Baeza,Punahele Soriano,Blue,0
Thiago Moises,Ludovit Klein,Blue,0
Charles Radtke,Carlos Prates,Blue,0
Brad Katona,Jesse Butler,Red,1
Andrea Lee,Montana De La Rosa,Blue,0
John Castaneda,Daniel Marcos,Blue,0
Eduarda Moura,Denise Gomes,Blue,0
Cody Stamann,Taylor Lapilus,Blue,0
Rayanne dos Santos,Puja Tomar,Blue,0
Islam Makhachev,Dustin Poirier,Red,1
Sean Strickland,Paulo Costa,Red,1
Kevin Holland,Michal Oleksiejczuk,Red,1
Niko Price,Alex Morono,Red,1
Randy Brown,Elizeu Zaleski dos Santos,Red,1
Cesar Almeida,Roman Kopylov,Blue,0
Jailton Almeida,Alexandr Romanov,Red,1
Grant Dawson,Joe Solecki,Red,1
Phil Rowe,Jake Matthews,Blue,0
Mickey Gall,Bassil Hafez,Blue,0
Ailin Perez,Joselyne Edwards,Red,1
Mitch Raposo,Andre Lima,Blue,0
Edson Barboza,Lerone Murphy,Blue,0
Khaos Williams,Carlston Harris,Red,1
Themba Gorimbo,Ramiz Brahimaj,Red,1
Adrian Yanez,Vinicius Salvador,Red,1
